Key,en,es,ar,fr
Languages,Languages,Idiomas,اللغات,Langues
Language,Language,Idioma,لغة,Langue
Information,Information,Información,معلومات,Information
Language Information,Language Information,Información del idioma,معلومات اللغة,Information sur la langue
Language Manager,Language Manager,Gestor de idiomas,مدير اللغة,Gestionnaire de langue
Language created successfully!,Language created successfully!,Idioma creado exitosamente,تم إنشاء اللغة بنجاح!,Langue créée avec succès!
Super Admin,Super Admin,Super Administrador,المشرف الفائق,Super Administrateur
DEFAULT,Default,POR DEFECTO,الافتراضي,DÉFAUT
Setup Currency,Setup Currency,Configuración de moneda,إعداد العملة,Configuration de la devise
Fees & Charges,Fees & Charges,Tarifas y cargos,الرسوم والرسوم,Frais et charges
TRANSACTIONS & LOGS,Transactions & Logs,TRANSACCIONES Y REGISTROS,المعاملات والسجلات,TRANSACTIONS ET JOURNAUX
Add Money Logs,Add Money Logs,Registros de añadir dinero,سجلات إضافة الأموال,Journaux d'ajout d'argent
All Logs,All Logs,Todos los registros,جميع السجلات,Tous les journaux
Money Out Logs,Money Out Logs,Registros de salida de dinero,سجلات سحب الأموال,Journaux de sortie d'argent
Pending Logs,Pending Logs,Registros pendientes,سجلات معلقة,Journaux en attente
Completed Logs,Completed Logs,Registros completados,سجلات مكتملة,Journaux terminés
Canceled Logs,Canceled Logs,Registros cancelados,سجلات ملغاة,Journaux annulés
User Care,User Care,Atención al usuario,رعاية المستخدم,Service client
Active Users,Active Users,Usuarios activos,المستخدمون النشطون,Utilisateurs actifs
All Users,All Users,Todos los usuarios,جميع المستخدمين,Tous les utilisateurs
Email To Users,Email To Users,Correo electrónico a los usuarios,إرسال بريد إلكتروني للمستخدمين,Envoyer un e-mail aux utilisateurs
Banned Users,Banned Users,Usuarios prohibidos,المستخدمون المحظورون,Utilisateurs bannis
Agent Care,Agent Care,Atención al agente,رعاية الوكيل,Service de l'agent
Active Agents,Active Agents,Agentes activos,الوكلاء النشطون,Agents actifs
Email unverified,Email unverified,Correo electrónico no verificado,بريد إلكتروني غير مُتحقق,E-mail non vérifié
KYC Unverified,KYC Unverified,KYC no verificado (Conozca a su cliente),التحقق من الهوية غير مُتحقق,KYC non vérifié
All Agents,All Agents,Todos los agentes,جميع الوكلاء,Tous les agents
Email To Agents,Email To Agents,Correo electrónico a los agentes,إرسال بريد إلكتروني للوكلاء,Envoyer un e-mail aux agents
Banned Agents,Banned Agents,Agentes prohibidos,الوكلاء المحظورون,Agents bannis
Admin Care,Admin Care,Atención al administrador,رعاية المسؤول,Service administrateur
All Admin,All Admin,Todos los administradores,جميع المسؤولين,Tous les administrateurs
Admin Role,Admin Role,Rol de administrador,دور المسؤول,Rôle administrateur
Role Permission,Role Permission,Permiso de rol,صلاحيات الدور,Autorisation de rôle
Email To Admin,Email To Admin,Correo electrónico al administrador,البريد إلى المسؤول,Envoyer un e-mail aux administrateurs
Settings,Settings,Configuración,الإعدادات,Paramètres
Web Settings,Web Settings,Configuración web,إعدادات الويب,Paramètres du site web
Basic Settings,Basic Settings,Configuración básica,الإعدادات الأساسية,Paramètres de base
Image Assets,Image Assets,Recursos de imagen,أصول الصور,Ressources d'image
Setup SEO,Setup SEO ( Search Engine Optimization ),Configuración de SEO,إعداد SEO (تحسين محركات البحث),Configuration SEO
App Settings,App Settings,Configuración de la aplicación,إعدادات التطبيق,Paramètres de l'application
Splash Screen,Splash Screen,Pantalla de presentación,شاشة البداية,Écran de démarrage
Onboard Screen,Onboard Screen,Pantalla de bienvenida,شاشة الانطلاق,Écran embarqué
App URLs,App URLs,URL de la aplicación,عناوين التطبيق,URL de l'application
VERIFICATION CENTER,Verification Center,CENTRO DE VERIFICACIÓN,مركز التحقق,CENTRE DE VÉRIFICATION
Setup Email,Setup Email,Configuración de correo electrónico,إعداد البريد الإلكتروني,Configuration de l'e-mail
Email Method,Email Method,Método de correo electrónico,طريقة البريد الإلكتروني,Méthode d'e-mail
